               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.055146,            0.016614,                   0,             0.73207,              0.6153,             0.69393,             0.31713,             0.04563,            0.015752,                   0,             0.00316,             0.00316,             0.00316
                  40,            0.055337,            0.016758,                   0,             0.70374,             0.61853,             0.69019,             0.30512,            0.046186,            0.015808,                   0,             0.00298,             0.00298,             0.00298
                  41,            0.054575,            0.016064,                   0,             0.71785,             0.60316,             0.68534,             0.30937,            0.045587,            0.015445,                   0,              0.0028,              0.0028,              0.0028
                  42,             0.05452,            0.016497,                   0,             0.72077,             0.63003,             0.70807,             0.31851,            0.044508,            0.015374,                   0,             0.00262,             0.00262,             0.00262
                  43,            0.054421,            0.015986,                   0,             0.74196,             0.61153,             0.69787,             0.30914,             0.04545,            0.015547,                   0,             0.00244,             0.00244,             0.00244
                  44,            0.053651,            0.016184,                   0,             0.70367,             0.62554,             0.69515,             0.31203,            0.044894,            0.015595,                   0,             0.00226,             0.00226,             0.00226
                  45,            0.054151,            0.016372,                   0,             0.73436,             0.61664,             0.70243,             0.31501,            0.044791,             0.01532,                   0,             0.00208,             0.00208,             0.00208
                  46,            0.053609,            0.016134,                   0,             0.72772,             0.63938,             0.72057,             0.33119,            0.044773,            0.015244,                   0,              0.0019,              0.0019,              0.0019
                  47,            0.052626,            0.015714,                   0,             0.70406,              0.6358,              0.7049,             0.31487,            0.044231,            0.015547,                   0,             0.00172,             0.00172,             0.00172
                  48,            0.053131,            0.016189,                   0,             0.73975,             0.63739,             0.71808,             0.33035,            0.044012,            0.014995,                   0,             0.00154,             0.00154,             0.00154
                  49,            0.052901,            0.016042,                   0,             0.73649,             0.64062,             0.72406,             0.33436,            0.043659,            0.015023,                   0,             0.00136,             0.00136,             0.00136
